,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
35,Tyee,,6 Dec 1940,tugboat,Oregon,North coast,Barview,,,"Foundered off Tillamook Bar. The engine was ripped out, saving the crew by lightening the ship.",
36,Samuel Roberts,,06 Aug 1850,schooner,Oregon,Central coast,Reedsport,,,,
37,Bostonian,,01 Oct 1850,,Oregon,Central coast,Reedsport,,,"Owned by a man named Gardiner, much of the vessel was salvaged and used in the building of the town of Gardiner, Oregon.",
38,Almira,,09 Jan 1852,brig,Oregon,Central coast,Reedsport,,,,
39,Juliet,,00 Mar 1852,,Oregon,Central coast,Newport,,,,
40,Nassau,,22 Jul 1852,schooner,Oregon,Central coast,Reedsport,,,,
41,Roanoke,,02 Feb 1853,brig,Oregon,Central coast,Reedsport,,,,
42,Joseph Warren,,25 Nov 1853,barque,Oregon,Central coast,Newport,,,,
43,Fawn,,21 Nov 1856,brig,Oregon,Central coast,Florence,,,,
44,Calumet,,8 Dec 1856,schooner,Oregon,Central coast,Siletz Estuary (Nechesne),,,Wrecked at Siletz River while offloading supplies for Indian Affairs. Captain B. Jennings. ,
45,Blanco,,00 Jan 1864,brig,Oregon,Central coast,Lincoln City,,,,
46,Cornelia Terry,,13 Oct 1864,schooner,Oregon,Central coast,Newport,,,Oyster pirate vessel. Sank while being pursued by Annie G. Doyle.,
47,Ork,,24 Nov 1864,barque,Oregon,Central coast,Reedsport,,,,
48,Annie G. Doyle,,11 Mar 1865,schooner,Oregon,Central coast,Newport,,,"Ran aground at nearly the same location as the pirate vessel Cornelia Terry, which it had pursued half a year prior.",
49,Enterprise,,20 Feb 1873,sternwheeler,Oregon,Central coast,Reedsport,,,Engines salvaged and installed on the vessel Beaver,
50,John Hunter,,00 Jan 1873,,Oregon,Central coast,Newport,,,No further information.,
51,Meldon,,16 Mar 1873,schooner,Oregon,Central coast,Reedsport,,,,
52,Bobolink,,00 Oct 1873,schooner,Oregon,Central coast,Reedsport,,,"Salvaged, but later lost at Mendocino, California.",
53,Sparrow,,04 Dec 1875,schooner,Oregon,Central coast,Reedsport,,,,
54,Lizzie,,16 Feb 1876,schooner,Oregon,Central coast,Newport,,,,
55,Caroline Medeau,,05 Apr 1876,schooner,Oregon,Central coast,Newport,,,,
56,Phil Sheridan,,15 Sep 1878,schooner,Oregon,Central coast,Reedsport,,,Run into by the steamer Ancon.,
57,Olivia Schultze,,28 Apr 1880,schooner,Oregon,Central coast,Florence,,,,
58,Tacoma,,29 Jan 1883,steamship,Oregon,Central coast,Reedsport,,,,
59,Phoebe Fay,,16 Apr 1883,schooner,Oregon,Central coast,Newport,,,,
60,Ona,,26 Sep 1883,steam schooner,Oregon,Central coast,Newport,,,,
61,Beda,,17 Mar 1886,steam schooner,Oregon,Central coast,Yachats,,,,
62,Emma Utter,,00 Dec 1886,,Oregon,Central coast,Florence,,,,
63,Yaquina City,,04 Dec 1887,steamship,Oregon,Central coast,Newport,,,"Predecessor of the Yaquina Bay. Lost a year later at the same spot, effectively ruining the vessel owners, the Oregon Development Co.",
64,Yaquina Bay,,09 Dec 1888,steamship,Oregon,Central coast,Newport,,,Originally named Caracas. She was the sister ship of the SS Valencia and successor of the Yaquina Bay. Ran aground near the wreckage of the Yaquina City and was declared a total loss.,
65,Alaskan,,13 May 1889,Sidewheeler,Oregon,Central coast,Depoe Bay,,,"While sailing to San Francisco from the Columbia River, the Alaskan ran into bad weather and the river going vessel began to fall apart from the stress off Cape Foulweather.",
66,Fearless,,20 Nov 1889,tugboat,Oregon,Central coast,Reedsport,,,"Formerly a brig named the Star of China. Ran aground in 1873, refloated, and converted into a tugboat. Loss not discovered until the next day when debris and one survivor washed ashore. However, he perished before he could reveal the final fate of the Fearless.",
67,Struan,,25 Dec 1890,schooner,Oregon,Central coast,Tillamook,,,"Constructed in John Fraser's shipyard on Courtney Bay in Saint John, New Brunswick, in 1877",
68,Maggie Ross,,08 Dec 1891,steamship,Oregon,Central coast,Newport,,,,
69,St. Charles,,17 May 1892,,Oregon,Central coast,Depoe Bay,,,,
70,Mary Gilbert,,17 Dec 1894,schooner,Oregon,Central coast,Waldport,,,,
71,Bandorville,,21 Nov 1895,steamship,Oregon,Central coast,Reedsport,,,,
72,Volante,,07 Mar 1896,steamship,Oregon,Central coast,Newport,,,Burned in Yaquina Bay in Newport.,
73,Truckee,,18 Nov 1897,steamship,Oregon,Central coast,Reedsport,,,,
74,Atalanta,,17 Nov 1898,clipper,Oregon,Central coast,Seal Rock,,,Ran into a reef while coasting along the shore.,
75,Nettie Sundberg,,28 Dec 1902,schooner,Oregon,Central coast,Florence,,,,
76,Charles Nelson,,00 Nov 1903,steam schooner,Oregon,Central coast,Florence,,,,
77,Ocean Spray,,20 Nov 1903,schooner,Oregon,Central coast,Florence,,,,
78,Alice Kimball,,12 Oct 1904,schooner,Oregon,Central coast,Florence,,,,
79,Quickstep,,24 Nov 1904,barquentine,Oregon,Central coast,Newport,,,,
80,Bella,,25 Nov 1905,schooner,Oregon,Central coast,,,,,
81,Alpha,,03 Feb 1907,schooner,Oregon,Central coast,Reedsport,,,,
82,Berwick,,13 Mar 1908,schooner,Oregon,Central coast,Florence,,,,
83,J. Marhoffer,,22 Apr 1910,steam schooner,Oregon,Central coast,Depoe Bay,,,"Caught fire off Newport, and drifted north, eventually grounding at what is now Boiler Bay. Boiler Bay was named after the discarded boiler from the J. Marhoffer",
84,Wilhelmina,,22 Jan 1911,gas schooner,Oregon,Central coast,Reedsport,,,,
85,Pilgram,,00 Jan 1912,sloop,Oregon,Central coast,Newport,,,,
86,Condor,,17 Nov 1912,cargo ship,Oregon,Central coast,Waldport,,,,
87,Frederick,,14 Apr 1914,barge,Oregon,Central coast,Florence,,,,
88,Hugh Hogan,,28 Apr 1914,schooner,Oregon,Central coast,Florence,,,Refloated and renamed as the Ozmo.,
89,Graywood,,02 Oct 1915,steam schooner,Oregon,Central coast,Reedsport,,,,
90,Anvil,,11 Apr 1917,,Oregon,Central coast,Florence,,,,
91,Washtucna,,17 Aug 1922,barge,Oregon,Central coast,Reedsport,,,,
92,Admiral Nicholson,,16 May 1924,steam schooner,Oregon,Central coast,Reedsport,,,Ran aground while towing the disabled G.C. Lindauer.,
93,G.C. Lindauer,,16 May 1924,steam schooner,Oregon,Central coast,Reedsport,,,Had a history of wrecks prior to final loss at Reedsport. Came loose and lost soon after the towing Admiral Nicholson wrecked.,
94,Yaquina,,20 Feb 1935,patrol boat,Oregon,Central coast,Newport,,,Coast guard patrol boat. Lost while attempting to aid the crew of a barge caught on the Yaquina Bar.,
95,Parker #2,,26 Feb 1935,dredge,Oregon,Central coast,Newport,,,,
96,Dorothy Joan,,13 Sep 1945,,Oregon,Central coast,Newport,,,,
97,Etta Kay,,11 Dec 1946,schooner,Oregon,Central coast,Newport,,,,
98,John Aspin,,22 Apr 1948,cargo ship,Oregon,Central coast,Newport,,,"As of 1986, portions of her hull were still visible at low tide.",
99,Helori,,21 Dec 1949,oil screw,Oregon,Central coast,Reedsport,,,,
100,L.H. Coolidge,,20 Aug 1951,tugboat,Oregon,Central coast,Yachats,,,"Ran aground at Bandon. While under tow to the Columbia River by the Salvage Chief, she came loose and sank of the coast at Yachats.",
101,Captain Ludvig,,25 Jun 1953,,Oregon,Central coast,Newport,,,,
102,Blue Magpie,,19 Nov 1983,cargo ship,Oregon,Central coast,Newport,,,,
103,New Carissa,,04 Feb 1999,cargo ship,Oregon,Central coast,Waldport,,,"Half of the ship. This half was beached before being towed off and sunk by Navy. The other half is at Coos Bay. The ship broke apart at Coos Bay, with the rear portion drifting north.",
104,Bandon,,00 Jan 0000,steamship,Oregon,South coast,Coos Bay,,,Grounded several times before being sold.,
105,Cohansa,,00 Jan 0000,,Oregon,South coast,Coos Bay,,,No further information.,
106,Echo,,00 Jan 0000,sternwheeler,Oregon,South coast,Bandon,,,Refloated.,
107,Jackson,,00 Jan 0000,,Oregon,South coast,Coos Bay,,,No further information.,
108,New World,,00 Jan 0000,,Oregon,South coast,Coos Bay,,,No further information.,
109,W.L. Hackstaff,,00 Aug 1849,schooner,Oregon,South coast,Gold Beach,,,Grounded at Rogue River. Survivors marched overland to the Willamette Valley.,
110,Captain Lincoln,,30 Dec 1851,schooner,Oregon,South coast,Coos Bay,,,Survivors established Camp Castaway.,
111,Anita,,00 Jan 1852,barque,Oregon,South coast,Port Orford,,,,
112,Chansey,,00 May 1854,,Oregon,South coast,Coos Bay,,,,
113,Quadratus,,00 Jan 1856,schooner,Oregon,South coast,Coos Bay,,,,
114,Friendship,,00 Jan 1860,barque,Oregon,South coast,Sixes River,,,,
115,Baltimore,,00 Jan 1861,schooner,Oregon,South coast,Coos Bay,,,,
116,Cyclops,,00 Jan 1862,schooner,Oregon,South coast,Coos Bay,,,,
117,Energy,,00 Jan 1862,brig,Oregon,South coast,Coos bay,,,One survivor.,
118,Noyo,,00 Jan 1868,schooner,Oregon,South coast,Coos Bay,,,Burned when her cargo of lime ignited.,
119,D.M. Hall,,03 Oct 1868,barque,Oregon,South coast,Coos Bay,,,,
120,Alaska,,00 Dec 1869,schooner,Oregon,South coast,Bandon,,,,
121,Ida D. Rogers,,15 Dec 1869,brig,Oregon,South coast,Coos Bay,,,,
122,Commodore,,00 Jan 1870,steamship,Oregon,South coast,Coos Bay,,,,
123,Charles Devans,,00 Feb 1870,barque,Oregon,South coast,Coos Bay,,,,
124,Occident,,3 May 1870,barquentine,Oregon,South coast,Bandon,,,,
125,Bunkalation,,00 Jul 1870,schooner,Oregon,South coast,Cape Blanco,,,,
126,Jenny Thelin,,00 Jan 1874,schooner,Oregon,South coast,,,,"Refloated. Lost for good later at Punta Maria, California.",
127,Laura May,,00 Jan 1874,schooner,Oregon,South coast,Coos Bay,,,,
128,Northwester,,00 Jan 1875,schooner,Oregon,South coast,Gold Beach,,,,
129,Mary Schowner,,00 Jan 1876,schooner,Oregon,South coast,Bandon,,,,
130,Messenger,,00 Jan 1876,Sternwheeler,Oregon,South coast,Coos Bay,,,,
131,Harriet Rose,,28 Jan 1876,schooner,Oregon,South coast,Port Orford,,,,
132,Perpetua,,24 Oct 1876,brig,Oregon,South coast,Coos Bay,,,Foundered in a gale offshore.,
133,Oregonian,,16 Jan 1877,schooner,Oregon,South coast,Bandon,,,,
134,Esther Colos,,21 Oct 1879,schooner,Oregon,South coast,Gold Beach,,,,
135,Gussie Telfair,,25 Sep 1880,steamship,Oregon,South coast,Coos Bay,,,Formerly a Confederate blockade runner named the Gertrude that had been captured.,
136,Victoria,,28 Nov 1883,steamship,Oregon,South coast,Port Orford / Cape Blanco,,,,
137,Mose,,28 Jul 1884,,Oregon,South coast,Port Orford,,,,
138,Escort,,21 Dec 1886,tugboat,Oregon,South coast,Coos Bay,,,Sank in bay when its boiler exploded.,
139,Dawn,,03 Feb 1887,scow,Oregon,South coast,Coos Bay,,,"Drifted for nine days before being towed into Coos Bay. However, abandoned due to the ship being waterlogged.",
140,Ocean King,,26 Dec 1887,cargo ship,Oregon,South coast,Cape Blanco,,,Destroyed by on board fire.,
141,Julia H. Ray,,26 Jan 1889,schooner,Oregon,South coast,Coos Bay,,,,
142,Parkersburg,,18 Nov 1889,schooner,Oregon,South coast,Bandon,,,Ran aground during storm attempting to enter Coquille River.,
143,Rosalind,,18 Feb 1890,schooner,Oregon,South coast,Gold Beach,,,,
144,Express,,08 Sep 1891,steamship,Oregon,South coast,Coos bay,,,Destroyed by fire.,
145,General Butler,,08 Dec 1891,barque,Oregon,South coast,Coos bay / Cape Blanco,,,Started breaking up 100 miles (160 km) offshore. Part of hull drifted north and ran aground at the Yaquina jetty.,
146,Charles W. Wetmore,,08 Sep 1892,steamship,Oregon,South coast,Coos Bay,,,Previously ran afoul of Columbia Bar after rudder came loose.,
147,Emily,,17 Jul 1893,steam schooner,Oregon,South coast,Coos Bay,,,Repaired and renamed the Arago. The re-christened Arago sank at the same location.,
148,T.W. Lucas,,24 Oct 1894,brig,Oregon,South coast,Port Orford,,,,
149,Bawnmore,,28 Aug 1895,steamship,Oregon,South coast,Bandon,,,,
150,Ella Laurena,,18 Dec 1895,schooner,Oregon,South coast,Coos Bay,,,Abandoned by crew during a storm. Found ran aground the next day.,
151,Arago,,20 Oct 1896,steamboat,Oregon,South coast,Coos Bay,,,Struck bar previously in 1891 at same location.,
152,Cyclone,,00 Jan 1897,schooner,Oregon,South coast,,,,Destroyed by fire prior to launch.,
153,Moro,,06 Dec 1897,gas schooner,Oregon,South coast,Bandon,,,,
154,Eureka,,30 Nov 1899,schooner,Oregon,South coast,Bandon,,,,
155,Monterey,,19 May 1900,power schooner,Oregon,South coast,Coos Bay,,,Salvaged and converted into a whaler.,
156,Baroda,,29 Aug 1901,barque,Oregon,South coast,Bandon,,,Refloated. Converted into barge.,
157,South Portland,,19 Oct 1903,steamboat,Oregon,South coast,Cape Blanco,,,,
158,Fulton,,12 Feb 1904,,Oregon,South coast,Port Orford,,,,
159,Western Home,,13 Nov 1904,schooner,Oregon,South coast,Bandon,,,,
160,Del Norte,,00 Jan 1905,steam schooner,Oregon,South coast,Bandon,,,Collided with the vessel Sea Foam.,
161,Onward,,25 Feb 1905,schooner,Oregon,South coast,Bandon,,,,
162,Sacramento,,15 Oct 1905,schooner,Oregon,South coast,Coos Bay,,,,
163,Melanope,,00 Dec 1906,barge,Oregon,South coast,Cape Blanco,,,"Began as a Cape Horn windjammer in 1876, turned into a barge after damage at Cape Blanco in 1906. Sunk to form part of breakwater at Royston, British Columbia in 1946.: 14",
164,Daisy,,00 Jan 1907,schooner,Oregon,South coast,,,,Destroyed by forest fire prior to launch.,
165,Chinook,,12 Apr 1907,schooner,Oregon,South coast,Coos Bay,,,,
166,Novelty,,20 Sep 1907,schooner,Oregon,South coast,Coos Bay,,,,
167,Marconi,,23 Mar 1909,schooner,Oregon,South coast,Coos Bay,,,,
168,Czarina,,12 Jan 1910,steamship,Oregon,South coast,Bandon,,,,
169,San Buenaventura,,14 Jan 1910,schooner,Oregon,South coast,Cape Blanco,,,Abandoned. Final resting spot unknown.,
170,Washcalore,,21 May 1911,oil schooner,Oregon,South coast,Gold Beach,,,,
171,North Star #1,,20 Jan 1912,motor launch,Oregon,South coast,Coos Bay,,,,
172,Osprey,,01 Nov 1912,gas schooner,Oregon,South coast,Coos Bay,,,,
173,Advent,,08 Feb 1913,schooner,Oregon,South coast,Coos Bay,,,,
174,Randolph,,15 Apr 1915,gas schooner,Oregon,South coast,Bandon,,,,
175,Claremont,,22 May 1915,steam schooner,Oregon,South coast,Coos Bay,,,,
176,Santa Clara,,02 Nov 1915,steam schooner,Oregon,South coast,Coos Bay,,,Formally named John S. Kimball and then James Dollar.,
177,Fifield,,21 Feb 1916,steam schooner,Oregon,South coast,Bandon,,,Second ship named Fifield.,
178,Sinaloa,,15 Jun 1917,gas schooner,Oregon,South coast,Cape Blanco,,,,
179,Wallacut,,03 Nov 1918,barge,Oregon,South coast,Coos Bay,,,,
180,Rustler,,24 Aug 1919,,Oregon,South coast,,,,Destroyed by on board fire.,
181,J. A. Chanslor,,18 Dec 1919,oiler,Oregon,South coast,Cape Blanco,,,,
182,Adel,,02 Oct 1920,,Oregon,South coast,Coos Bay,,,,
183,Joan of Arc,,15 Nov 1920,steamboat,Oregon,South coast,Gold Beach,,,,
184,Ozmo,,17 May 1922,schooner,Oregon,South coast,Port Orford,,,Originally christened as Hugh Hogan,
185,Sea Eagle,,20 Nov 1822,tugboat,Oregon,South coast,Coos Bay,,,Wrecked while towing the vessel Ecola. The Ecola survived.,
186,Brush,,26 Apr 1923,steamship,Oregon,South coast,Coos Bay,,,,
187,C.A. Smith,,16 Dec 1923,steam schooner,Oregon,South coast,Coos Bay,,,,
188,Columbia,,17 Feb 1924,steam schooner,Oregon,South coast,Coos Bay,,,,
189,Acme,,31 Oct 1924,steam schooner,Oregon,South coast,Bandon,,,,
190,Admiral Wainright,,00 Jan 1927,steamboat,Oregon,South coast,Bandon,,,Refloated.,
191,Mary E. Moore,,23 Feb 1927,steam schooner,Oregon,South coast,Bandon,,,,
192,Sujameco,,28 Feb 1929,steamboat,Oregon,South coast,Coos Bay,,,Ran aground at Horsfall Beach in heavy fog missing Coos Bay entrance by a few miles.  During WWII much of the hull was scrapped for iron.  The wreck is partially visible each winter due to seasonal sand movement; more than usual emerged April 2010.,
193,Fort Bragg,,14 Sep 1932,steam schooner,Oregon,South coast,Coos Bay,,,Hit south jetty and ran aground inland.,
194,E. L. Smith,,01 Jan 1936,gas schooner,Oregon,South coast,Bandon,,,,
195,Phyllis,,09 Mar 1936,steam schooner,Oregon,South coast,Port Orford,,,Scuttled by captain after ship sprang a leak.,
196,Golden West,,29 Mar 1936,cargo ship,Oregon,South coast,Bandon,,,,
197,Golden Bear,,00 Jan 1937,cargo ship,Oregon,South coast,Coos Bay,,,"Superstructure began to fall apart, incapacitating the ship and crew. Towed by the Active and converted into a barge. Now a part of a breakwater in British Columbia.",
198,Cottoneva,,10 Feb 1937,steam schooner,Oregon,South coast,Port Orford,,,Originally christened as Frank D. Stout,
199,Willapa #2,,02 Dec 1941,steam schooner,Oregon,South coast,Port Orford,,,Formerly christened Florence Olson. Crew saved by local fishermen.,
200,Camden,,04 Oct 1942,oiler,Oregon,South coast,Coos Bay,,,Torpedoed off Coos Bay by Japanese submarine I-25. Towed north by tug Kenai to attempt salvage. Sank off Grays Harbor several days later.,
